year,sch_id,sch_name,Type,Value
2008,216,Travilah ES,Capacity,526
2009,216,Travilah ES,Capacity,526
2010,216,Travilah ES,Capacity,526
2011,216,Travilah ES,Capacity,526
2012,216,Travilah ES,Capacity,504
2013,216,Travilah ES,Capacity,517
2014,216,Travilah ES,Capacity,517
2015,216,Travilah ES,Capacity,522
2016,216,Travilah ES,Capacity,521
2000,219,Farmland ES,Capacity,345
2001,219,Farmland ES,Capacity,345
2002,219,Farmland ES,Capacity,345
2003,219,Farmland ES,Capacity,345
2004,219,Farmland ES,Capacity,345
2005,219,Farmland ES,Capacity,345
2006,219,Farmland ES,Capacity,617
2007,219,Farmland ES,Capacity,617
2008,219,Farmland ES,Capacity,616
2009,219,Farmland ES,Capacity,616
2010,219,Farmland ES,Capacity,617
2011,219,Farmland ES,Capacity,716
2012,219,Farmland ES,Capacity,715
2013,219,Farmland ES,Capacity,728
2014,219,Farmland ES,Capacity,728
2015,219,Farmland ES,Capacity,729
2016,219,Farmland ES,Capacity,714
2000,220,Luxmanor ES,Capacity,219
2001,220,Luxmanor ES,Capacity,219
2002,220,Luxmanor ES,Capacity,219
2003,220,Luxmanor ES,Capacity,219
2004,220,Luxmanor ES,Capacity,219
2005,220,Luxmanor ES,Capacity,219
2006,220,Luxmanor ES,Capacity,222
2007,220,Luxmanor ES,Capacity,223
2008,220,Luxmanor ES,Capacity,239
2009,220,Luxmanor ES,Capacity,446
2010,220,Luxmanor ES,Capacity,422
2011,220,Luxmanor ES,Capacity,422
2012,220,Luxmanor ES,Capacity,428
2013,220,Luxmanor ES,Capacity,429
2014,220,Luxmanor ES,Capacity,428
2015,220,Luxmanor ES,Capacity,429
2016,220,Luxmanor ES,Capacity,411
2000,226,Beverly Farms ES,Capacity,499
2001,226,Beverly Farms ES,Capacity,499
2002,226,Beverly Farms ES,Capacity,499
2003,226,Beverly Farms ES,Capacity,499
2004,226,Beverly Farms ES,Capacity,499
2005,226,Beverly Farms ES,Capacity,499
2006,226,Beverly Farms ES,Capacity,541
2007,226,Beverly Farms ES,Capacity,541
2008,226,Beverly Farms ES,Capacity,541
2009,226,Beverly Farms ES,Capacity,528
2010,226,Beverly Farms ES,Capacity,574
2011,226,Beverly Farms ES,Capacity,574
2012,226,Beverly Farms ES,Capacity,689
2013,226,Beverly Farms ES,Capacity,689
2014,226,Beverly Farms ES,Capacity,690
2015,226,Beverly Farms ES,Capacity,690
2016,226,Beverly Farms ES,Capacity,690
2000,227,Ritchie Park ES,Capacity,391
2001,227,Ritchie Park ES,Capacity,357
2002,227,Ritchie Park ES,Capacity,357
2003,227,Ritchie Park ES,Capacity,334
2004,227,Ritchie Park ES,Capacity,377
2005,227,Ritchie Park ES,Capacity,377
2006,227,Ritchie Park ES,Capacity,394
2007,227,Ritchie Park ES,Capacity,393
2008,227,Ritchie Park ES,Capacity,410
2009,227,Ritchie Park ES,Capacity,409
2010,227,Ritchie Park ES,Capacity,387
2011,227,Ritchie Park ES,Capacity,388
2012,227,Ritchie Park ES,Capacity,387
2013,227,Ritchie Park ES,Capacity,387
2014,227,Ritchie Park ES,Capacity,387
2015,227,Ritchie Park ES,Capacity,388
2016,227,Ritchie Park ES,Capacity,387
2000,228,Herbert Hoover MS,Capacity,926.5
2001,228,Herbert Hoover MS,Capacity,913.75
2002,228,Herbert Hoover MS,Capacity,913.75
2003,228,Herbert Hoover MS,Capacity,918
2004,228,Herbert Hoover MS,Capacity,918
2005,228,Herbert Hoover MS,Capacity,918
2006,228,Herbert Hoover MS,Capacity,905.25
2007,228,Herbert Hoover MS,Capacity,926.5
2008,228,Herbert Hoover MS,Capacity,913.75
2009,228,Herbert Hoover MS,Capacity,922.25
2010,228,Herbert Hoover MS,Capacity,977.5
2011,228,Herbert Hoover MS,Capacity,977.5
2012,228,Herbert Hoover MS,Capacity,977.5
2013,228,Herbert Hoover MS,Capacity,1151.75
2014,228,Herbert Hoover MS,Capacity,1139
2015,228,Herbert Hoover MS,Capacity,1139
2016,228,Herbert Hoover MS,Capacity,1139
2000,229,College Gardens ES,Capacity,388
2001,229,College Gardens ES,Capacity,388
2002,229,College Gardens ES,Capacity,388
2003,229,College Gardens ES,Capacity,414
2004,229,College Gardens ES,Capacity,388
2000,100,Clopper Mill ES,Capacity,2235
2001,100,Clopper Mill ES,Capacity,557
2002,100,Clopper Mill ES,Capacity,557
2003,100,Clopper Mill ES,Capacity,560
2004,100,Clopper Mill ES,Capacity,479
2005,100,Clopper Mill ES,Capacity,475
2006,100,Clopper Mill ES,Capacity,449
2007,100,Clopper Mill ES,Capacity,449
2008,100,Clopper Mill ES,Capacity,427
2009,100,Clopper Mill ES,Capacity,409
2010,100,Clopper Mill ES,Capacity,437
2011,100,Clopper Mill ES,Capacity,432
2012,100,Clopper Mill ES,Capacity,432
2013,100,Clopper Mill ES,Capacity,437
2014,100,Clopper Mill ES,Capacity,417
2015,100,Clopper Mill ES,Capacity,437
2016,100,Clopper Mill ES,Capacity,460
2000,101,Clarksburg ES,Capacity,312
2001,101,Clarksburg ES,Capacity,292
2002,101,Clarksburg ES,Capacity,292
2003,101,Clarksburg ES,Capacity,292
2004,101,Clarksburg ES,Capacity,292
2005,101,Clarksburg ES,Capacity,269
2006,101,Clarksburg ES,Capacity,335
2007,101,Clarksburg ES,Capacity,335
2008,101,Clarksburg ES,Capacity,336
2009,101,Clarksburg ES,Capacity,336
2010,101,Clarksburg ES,Capacity,290
2011,101,Clarksburg ES,Capacity,313
2012,101,Clarksburg ES,Capacity,313
2013,101,Clarksburg ES,Capacity,312
2014,101,Clarksburg ES,Capacity,312
2015,101,Clarksburg ES,Capacity,312
2016,101,Clarksburg ES,Capacity,312
2000,102,Germantown ES,Capacity,271
2001,102,Germantown ES,Capacity,271
2002,102,Germantown ES,Capacity,271
2003,102,Germantown ES,Capacity,261
2004,102,Germantown ES,Capacity,291
2005,102,Germantown ES,Capacity,291
2006,102,Germantown ES,Capacity,292
2007,102,Germantown ES,Capacity,361
2008,102,Germantown ES,Capacity,361
2009,102,Germantown ES,Capacity,361
2010,102,Germantown ES,Capacity,332
2011,102,Germantown ES,Capacity,313
2012,102,Germantown ES,Capacity,316
2013,102,Germantown ES,Capacity,333
2014,102,Germantown ES,Capacity,333
2015,102,Germantown ES,Capacity,329
2016,102,Germantown ES,Capacity,329
2000,104,Seneca Valley HS,Capacity,1548.9
2001,104,Seneca Valley HS,Capacity,1548.9
2002,104,Seneca Valley HS,Capacity,1548.9
2003,104,Seneca Valley HS,Capacity,1527.3
2004,104,Seneca Valley HS,Capacity,1527.3
2005,104,Seneca Valley HS,Capacity,1527.3
2006,104,Seneca Valley HS,Capacity,1527.3
2007,104,Seneca Valley HS,Capacity,1451.7
2008,104,Seneca Valley HS,Capacity,1477.8
2009,104,Seneca Valley HS,Capacity,1491.3
2010,104,Seneca Valley HS,Capacity,1311.3
2011,104,Seneca Valley HS,Capacity,1297.8
2012,104,Seneca Valley HS,Capacity,1297.8
2013,104,Seneca Valley HS,Capacity,1374.3
2014,104,Seneca Valley HS,Capacity,1374.3
2015,104,Seneca Valley HS,Capacity,1360.8
2016,104,Seneca Valley HS,Capacity,1360.8
2000,105,Ridgeview MS,Capacity,957.95
2001,105,Ridgeview MS,Capacity,945.2
2002,105,Ridgeview MS,Capacity,936.7
2003,105,Ridgeview MS,Capacity,949.45
2004,105,Ridgeview MS,Capacity,949.45
2005,105,Ridgeview MS,Capacity,990.25
2006,105,Ridgeview MS,Capacity,990.25
2007,105,Ridgeview MS,Capacity,1007.25
2008,105,Ridgeview MS,Capacity,1007.25
2009,105,Ridgeview MS,Capacity,1007.25
2010,105,Ridgeview MS,Capacity,1015.75
2011,105,Ridgeview MS,Capacity,1015.75
2012,105,Ridgeview MS,Capacity,986
2013,105,Ridgeview MS,Capacity,1011.5
2014,105,Ridgeview MS,Capacity,995.35
2015,105,Ridgeview MS,Capacity,979.2
2016,105,Ridgeview MS,Capacity,963.05
2000,106,Fox Chapel ES,Capacity,467
2001,106,Fox Chapel ES,Capacity,508
2002,106,Fox Chapel ES,Capacity,508
2003,106,Fox Chapel ES,Capacity,487
2004,106,Fox Chapel ES,Capacity,432
2005,106,Fox Chapel ES,Capacity,427
2006,106,Fox Chapel ES,Capacity,433
2007,106,Fox Chapel ES,Capacity,410
2008,106,Fox Chapel ES,Capacity,392
2009,106,Fox Chapel ES,Capacity,387
2010,106,Fox Chapel ES,Capacity,392
2011,106,Fox Chapel ES,Capacity,645
2012,106,Fox Chapel ES,Capacity,655
2013,106,Fox Chapel ES,Capacity,683
2014,106,Fox Chapel ES,Capacity,683
2015,106,Fox Chapel ES,Capacity,683
2016,106,Fox Chapel ES,Capacity,683
2000,107,"Martin Luther King, Jr MS",Capacity,858.5
2001,107,"Martin Luther King, Jr MS",Capacity,845.75
2002,107,"Martin Luther King, Jr MS",Capacity,845.75
2003,107,"Martin Luther King, Jr MS",Capacity,833
2004,107,"Martin Luther King, Jr MS",Capacity,833
2005,107,"Martin Luther King, Jr MS",Capacity,833
2006,107,"Martin Luther King, Jr MS",Capacity,841.5
2007,107,"Martin Luther King, Jr MS",Capacity,862.75
2008,107,"Martin Luther King, Jr MS",Capacity,875.5
2009,107,"Martin Luther King, Jr MS",Capacity,888.25
2010,107,"Martin Luther King, Jr MS",Capacity,888.25
2011,107,"Martin Luther King, Jr MS",Capacity,888.25
2012,107,"Martin Luther King, Jr MS",Capacity,888.25
2013,107,"Martin Luther King, Jr MS",Capacity,905.25
2014,107,"Martin Luther King, Jr MS",Capacity,905.25
2015,107,"Martin Luther King, Jr MS",Capacity,905.25
2016,107,"Martin Luther King, Jr MS",Capacity,905.25
2000,108,Lake Seneca ES,Capacity,397
2001,108,Lake Seneca ES,Capacity,397
2002,108,Lake Seneca ES,Capacity,417
2003,108,Lake Seneca ES,Capacity,422
2004,108,Lake Seneca ES,Capacity,465
2005,108,Lake Seneca ES,Capacity,460
2006,108,Lake Seneca ES,Capacity,461
2007,108,Lake Seneca ES,Capacity,460
2008,108,Lake Seneca ES,Capacity,410
2009,108,Lake Seneca ES,Capacity,433
2010,108,Lake Seneca ES,Capacity,433
2011,108,Lake Seneca ES,Capacity,415
2012,108,Lake Seneca ES,Capacity,395
2013,108,Lake Seneca ES,Capacity,420
2014,108,Lake Seneca ES,Capacity,410
2015,108,Lake Seneca ES,Capacity,415
2016,108,Lake Seneca ES,Capacity,395
2000,109,Waters Landing ES,Capacity,591
2001,109,Waters Landing ES,Capacity,568
2002,109,Waters Landing ES,Capacity,568
2003,109,Waters Landing ES,Capacity,568
2004,109,Waters Landing ES,Capacity,629
2005,109,Waters Landing ES,Capacity,629
2006,109,Waters Landing ES,Capacity,630
2007,109,Waters Landing ES,Capacity,651
2008,109,Waters Landing ES,Capacity,536
2009,109,Waters Landing ES,Capacity,531
2010,109,Waters Landing ES,Capacity,518
2011,109,Waters Landing ES,Capacity,518
2012,109,Waters Landing ES,Capacity,513
2013,109,Waters Landing ES,Capacity,535
2014,109,Waters Landing ES,Capacity,776
2015,109,Waters Landing ES,Capacity,776
2016,109,Waters Landing ES,Capacity,776
2000,110,S. Christa McAuliffe ES,Capacity,611
2001,110,S. Christa McAuliffe ES,Capacity,588
2002,110,S. Christa McAuliffe ES,Capacity,588
2003,110,S. Christa McAuliffe ES,Capacity,614
2004,110,S. Christa McAuliffe ES,Capacity,652
2005,110,S. Christa McAuliffe ES,Capacity,630
2006,110,S. Christa McAuliffe ES,Capacity,630
2007,110,S. Christa McAuliffe ES,Capacity,630
2008,110,S. Christa McAuliffe ES,Capacity,559
2009,110,S. Christa McAuliffe ES,Capacity,531
2010,110,S. Christa McAuliffe ES,Capacity,526
2011,110,S. Christa McAuliffe ES,Capacity,536
2012,110,S. Christa McAuliffe ES,Capacity,521
2013,110,S. Christa McAuliffe ES,Capacity,556
2014,110,S. Christa McAuliffe ES,Capacity,526
2015,110,S. Christa McAuliffe ES,Capacity,531
2016,110,S. Christa McAuliffe ES,Capacity,531
2000,111,Captain James Daly ES,Capacity,565
2001,111,Captain James Daly ES,Capacity,605
2002,111,Captain James Daly ES,Capacity,605
2003,111,Captain James Daly ES,Capacity,604
2004,111,Captain James Daly ES,Capacity,518
2005,111,Captain James Daly ES,Capacity,523
2006,111,Captain James Daly ES,Capacity,533
2007,111,Captain James Daly ES,Capacity,533
2008,111,Captain James Daly ES,Capacity,548
2009,111,Captain James Daly ES,Capacity,533
2010,111,Captain James Daly ES,Capacity,500
2011,111,Captain James Daly ES,Capacity,510
2012,111,Captain James Daly ES,Capacity,500
2013,111,Captain James Daly ES,Capacity,518
2014,111,Captain James Daly ES,Capacity,518
2015,111,Captain James Daly ES,Capacity,523
2016,111,Captain James Daly ES,Capacity,523
2000,115,Neelsville MS,Capacity,867
2001,115,Neelsville MS,Capacity,867
2002,115,Neelsville MS,Capacity,867
2003,115,Neelsville MS,Capacity,867
2004,115,Neelsville MS,Capacity,867
2005,115,Neelsville MS,Capacity,867
2006,115,Neelsville MS,Capacity,858.5
2007,115,Neelsville MS,Capacity,850
2008,115,Neelsville MS,Capacity,841.5
2009,115,Neelsville MS,Capacity,841.5
2010,115,Neelsville MS,Capacity,896.75
2011,115,Neelsville MS,Capacity,896.75
2012,115,Neelsville MS,Capacity,905.25
2013,115,Neelsville MS,Capacity,939.25
2014,115,Neelsville MS,Capacity,922.25
2015,115,Neelsville MS,Capacity,922.25
2016,115,Neelsville MS,Capacity,922.25
2000,125,Quince Orchard HS,Capacity,1829.7
2001,125,Quince Orchard HS,Capacity,1803.6
2002,125,Quince Orchard HS,Capacity,1803.6
2003,125,Quince Orchard HS,Capacity,1799.1
2004,125,Quince Orchard HS,Capacity,1799.1
2005,125,Quince Orchard HS,Capacity,1799.1
2006,125,Quince Orchard HS,Capacity,1809
2007,125,Quince Orchard HS,Capacity,1791
2008,125,Quince Orchard HS,Capacity,1773.9
2009,125,Quince Orchard HS,Capacity,1674
2010,125,Quince Orchard HS,Capacity,1679.4
2011,125,Quince Orchard HS,Capacity,1776.6
2012,125,Quince Orchard HS,Capacity,1776.6
2013,125,Quince Orchard HS,Capacity,1856.7
2014,125,Quince Orchard HS,Capacity,1856.7
2015,125,Quince Orchard HS,Capacity,1856.7
2016,125,Quince Orchard HS,Capacity,1879.2
2000,152,Poolesville HS,Capacity,868.5
2001,152,Poolesville HS,Capacity,868.5
2002,152,Poolesville HS,Capacity,868.5
2003,152,Poolesville HS,Capacity,868.5
2004,152,Poolesville HS,Capacity,868.5
2005,152,Poolesville HS,Capacity,868.5
2006,152,Poolesville HS,Capacity,936
2007,152,Poolesville HS,Capacity,949.5
2008,152,Poolesville HS,Capacity,949.5
2009,152,Poolesville HS,Capacity,1107
2010,152,Poolesville HS,Capacity,1152
2011,152,Poolesville HS,Capacity,1152
2012,152,Poolesville HS,Capacity,1152
2013,152,Poolesville HS,Capacity,1170
2014,152,Poolesville HS,Capacity,1170
2015,152,Poolesville HS,Capacity,1170
2016,152,Poolesville HS,Capacity,1170
2000,153,Poolesville ES,Capacity,503
2001,153,Poolesville ES,Capacity,503
2002,153,Poolesville ES,Capacity,503
2003,153,Poolesville ES,Capacity,503
2004,153,Poolesville ES,Capacity,546
2005,153,Poolesville ES,Capacity,549
2006,153,Poolesville ES,Capacity,550
2007,153,Poolesville ES,Capacity,549
2008,153,Poolesville ES,Capacity,549
2009,153,Poolesville ES,Capacity,549
2010,153,Poolesville ES,Capacity,539
2011,153,Poolesville ES,Capacity,539
2012,153,Poolesville ES,Capacity,539
2013,153,Poolesville ES,Capacity,539
2014,153,Poolesville ES,Capacity,539
2015,153,Poolesville ES,Capacity,539
2016,153,Poolesville ES,Capacity,539
2000,155,Rosa Parks MS,Capacity,896.75
2001,155,Rosa Parks MS,Capacity,896.75
2002,155,Rosa Parks MS,Capacity,896.75
2003,155,Rosa Parks MS,Capacity,896.75
2004,155,Rosa Parks MS,Capacity,896.75
2005,155,Rosa Parks MS,Capacity,888.25
2006,155,Rosa Parks MS,Capacity,888.25
2007,155,Rosa Parks MS,Capacity,888.25
2008,155,Rosa Parks MS,Capacity,888.25
2009,155,Rosa Parks MS,Capacity,879.75
2010,155,Rosa Parks MS,Capacity,943.5
2011,155,Rosa Parks MS,Capacity,943.5
2012,155,Rosa Parks MS,Capacity,943.5
2013,155,Rosa Parks MS,Capacity,977.5
2014,155,Rosa Parks MS,Capacity,977.5
2015,155,Rosa Parks MS,Capacity,977.5
2016,155,Rosa Parks MS,Capacity,977.5
2000,156,Lois P. Rockwell ES,Capacity,496
2001,156,Lois P. Rockwell ES,Capacity,493
2002,156,Lois P. Rockwell ES,Capacity,498
2003,156,Lois P. Rockwell ES,Capacity,496
2004,156,Lois P. Rockwell ES,Capacity,496
2005,156,Lois P. Rockwell ES,Capacity,534
2006,156,Lois P. Rockwell ES,Capacity,534
2007,156,Lois P. Rockwell ES,Capacity,534
2008,156,Lois P. Rockwell ES,Capacity,529
2009,156,Lois P. Rockwell ES,Capacity,552
2010,156,Lois P. Rockwell ES,Capacity,529
2011,156,Lois P. Rockwell ES,Capacity,523
2012,156,Lois P. Rockwell ES,Capacity,523
2013,156,Lois P. Rockwell ES,Capacity,523
2014,156,Lois P. Rockwell ES,Capacity,523
2015,156,Lois P. Rockwell ES,Capacity,523
2016,156,Lois P. Rockwell ES,Capacity,536
2000,157,Roberto Clemente MS,Capacity,1021.7
2001,157,Roberto Clemente MS,Capacity,1000.45
2002,157,Roberto Clemente MS,Capacity,1000.45
2003,157,Roberto Clemente MS,Capacity,1119.45
2004,157,Roberto Clemente MS,Capacity,1161.95
2005,157,Roberto Clemente MS,Capacity,1161.95
2006,157,Roberto Clemente MS,Capacity,1161.95
2007,157,Roberto Clemente MS,Capacity,1174.7
2008,157,Roberto Clemente MS,Capacity,1164.5
2009,157,Roberto Clemente MS,Capacity,1151.75
2010,157,Roberto Clemente MS,Capacity,1193.4
2011,157,Roberto Clemente MS,Capacity,1193.4
2012,157,Roberto Clemente MS,Capacity,1164.5
2013,157,Roberto Clemente MS,Capacity,1214.65
2014,157,Roberto Clemente MS,Capacity,1230.8
2015,157,Roberto Clemente MS,Capacity,1230.8
2016,157,Roberto Clemente MS,Capacity,1230.8
2000,158,Ronald McNair ES,Capacity,569
2001,158,Ronald McNair ES,Capacity,595
2002,158,Ronald McNair ES,Capacity,595
2003,158,Ronald McNair ES,Capacity,592
2004,158,Ronald McNair ES,Capacity,646
2005,158,Ronald McNair ES,Capacity,646
2006,158,Ronald McNair ES,Capacity,611
2007,158,Ronald McNair ES,Capacity,611
2008,158,Ronald McNair ES,Capacity,612
2009,158,Ronald McNair ES,Capacity,612
2010,158,Ronald McNair ES,Capacity,623
2011,158,Ronald McNair ES,Capacity,623
2012,158,Ronald McNair ES,Capacity,613
2013,158,Ronald McNair ES,Capacity,622
2014,158,Ronald McNair ES,Capacity,623
2015,158,Ronald McNair ES,Capacity,623
2016,158,Ronald McNair ES,Capacity,645
2000,159,Rachel Carson ES,Capacity,609
2001,159,Rachel Carson ES,Capacity,632
2002,159,Rachel Carson ES,Capacity,632
2003,159,Rachel Carson ES,Capacity,609
2004,159,Rachel Carson ES,Capacity,672
2005,159,Rachel Carson ES,Capacity,649
2006,159,Rachel Carson ES,Capacity,649
2007,159,Rachel Carson ES,Capacity,639
2008,159,Rachel Carson ES,Capacity,639
2009,159,Rachel Carson ES,Capacity,649
2010,159,Rachel Carson ES,Capacity,691
2011,159,Rachel Carson ES,Capacity,668
2012,159,Rachel Carson ES,Capacity,667
2013,159,Rachel Carson ES,Capacity,667
2014,159,Rachel Carson ES,Capacity,667
2015,159,Rachel Carson ES,Capacity,667
2016,159,Rachel Carson ES,Capacity,690
2000,201,Richard Montgomery HS,Capacity,1498.5
2001,201,Richard Montgomery HS,Capacity,1588.5
2002,201,Richard Montgomery HS,Capacity,1575
2003,201,Richard Montgomery HS,Capacity,1575
2004,201,Richard Montgomery HS,Capacity,1561.5
2005,201,Richard Montgomery HS,Capacity,1561.5
2006,201,Richard Montgomery HS,Capacity,1561.5
2007,201,Richard Montgomery HS,Capacity,1966.5
2008,201,Richard Montgomery HS,Capacity,1948.5
2009,201,Richard Montgomery HS,Capacity,1957.5
2010,201,Richard Montgomery HS,Capacity,2232
2011,201,Richard Montgomery HS,Capacity,2232
2012,201,Richard Montgomery HS,Capacity,2218.5
2013,201,Richard Montgomery HS,Capacity,2236.5
2014,201,Richard Montgomery HS,Capacity,2236.5
2015,201,Richard Montgomery HS,Capacity,2236.5
2016,201,Richard Montgomery HS,Capacity,2236.5
2000,204,Garrett Park ES,Capacity,273
2001,204,Garrett Park ES,Capacity,276
2002,204,Garrett Park ES,Capacity,276
2003,204,Garrett Park ES,Capacity,276
2004,204,Garrett Park ES,Capacity,318
2005,204,Garrett Park ES,Capacity,318
2006,204,Garrett Park ES,Capacity,456
2007,204,Garrett Park ES,Capacity,456
2008,204,Garrett Park ES,Capacity,456
2009,204,Garrett Park ES,Capacity,478
2010,204,Garrett Park ES,Capacity,478
2011,204,Garrett Park ES,Capacity,755
2012,204,Garrett Park ES,Capacity,755
2013,204,Garrett Park ES,Capacity,753
2014,204,Garrett Park ES,Capacity,753
2015,204,Garrett Park ES,Capacity,752
2016,204,Garrett Park ES,Capacity,776
2000,206,Twinbrook ES,Capacity,602
2001,206,Twinbrook ES,Capacity,643
2002,206,Twinbrook ES,Capacity,619
2003,206,Twinbrook ES,Capacity,599
2004,206,Twinbrook ES,Capacity,525
2005,206,Twinbrook ES,Capacity,525
2006,206,Twinbrook ES,Capacity,532
2007,206,Twinbrook ES,Capacity,532
2008,206,Twinbrook ES,Capacity,542
2009,206,Twinbrook ES,Capacity,537
2010,206,Twinbrook ES,Capacity,563
2011,206,Twinbrook ES,Capacity,563
2012,206,Twinbrook ES,Capacity,563
2013,206,Twinbrook ES,Capacity,578
2014,206,Twinbrook ES,Capacity,563
2015,206,Twinbrook ES,Capacity,563
2016,206,Twinbrook ES,Capacity,553
2000,207,Beall ES,Capacity,577
2001,207,Beall ES,Capacity,634
2002,207,Beall ES,Capacity,634
2003,207,Beall ES,Capacity,623
2004,207,Beall ES,Capacity,554
2005,207,Beall ES,Capacity,554
2006,207,Beall ES,Capacity,564
2007,207,Beall ES,Capacity,569
2008,207,Beall ES,Capacity,577
2009,207,Beall ES,Capacity,562
2010,207,Beall ES,Capacity,556
2011,207,Beall ES,Capacity,641
2012,207,Beall ES,Capacity,641
2013,207,Beall ES,Capacity,638
2014,207,Beall ES,Capacity,638
2015,207,Beall ES,Capacity,638
2016,207,Beall ES,Capacity,638
2000,209,Lakewood ES,Capacity,338
2001,209,Lakewood ES,Capacity,338
2002,209,Lakewood ES,Capacity,348
2003,209,Lakewood ES,Capacity,532
2004,209,Lakewood ES,Capacity,542
2005,209,Lakewood ES,Capacity,542
2006,209,Lakewood ES,Capacity,594
2007,209,Lakewood ES,Capacity,555
2008,209,Lakewood ES,Capacity,568
2009,209,Lakewood ES,Capacity,568
2010,209,Lakewood ES,Capacity,569
2011,209,Lakewood ES,Capacity,569
2012,209,Lakewood ES,Capacity,556
2013,209,Lakewood ES,Capacity,568
2014,209,Lakewood ES,Capacity,569
2015,209,Lakewood ES,Capacity,556
2016,209,Lakewood ES,Capacity,556
2000,210,Maryvale ES,Capacity,533
2001,210,Maryvale ES,Capacity,599
2002,210,Maryvale ES,Capacity,599
2003,210,Maryvale ES,Capacity,599
2004,210,Maryvale ES,Capacity,598
2005,210,Maryvale ES,Capacity,593
2006,210,Maryvale ES,Capacity,593
2007,210,Maryvale ES,Capacity,603
2008,210,Maryvale ES,Capacity,603
2009,210,Maryvale ES,Capacity,608
2010,210,Maryvale ES,Capacity,590
2011,210,Maryvale ES,Capacity,590
2012,210,Maryvale ES,Capacity,590
2013,210,Maryvale ES,Capacity,626
2014,210,Maryvale ES,Capacity,626
2015,210,Maryvale ES,Capacity,626
2016,210,Maryvale ES,Capacity,626
2000,211,Julius West MS,Capacity,994.5
2001,211,Julius West MS,Capacity,973.25
2002,211,Julius West MS,Capacity,973.25
2003,211,Julius West MS,Capacity,986
2004,211,Julius West MS,Capacity,986
2005,211,Julius West MS,Capacity,986
2006,211,Julius West MS,Capacity,964.75
2007,211,Julius West MS,Capacity,973.25
2008,211,Julius West MS,Capacity,973.25
2009,211,Julius West MS,Capacity,986
2010,211,Julius West MS,Capacity,994.5
2011,211,Julius West MS,Capacity,986
2012,211,Julius West MS,Capacity,994.5
2013,211,Julius West MS,Capacity,1054
2014,211,Julius West MS,Capacity,1054
2015,211,Julius West MS,Capacity,1054
2016,211,Julius West MS,Capacity,1449.25
2000,212,Meadow Hall ES,Capacity,373
2001,212,Meadow Hall ES,Capacity,415
2002,212,Meadow Hall ES,Capacity,415
2003,212,Meadow Hall ES,Capacity,415
2004,212,Meadow Hall ES,Capacity,359
2005,212,Meadow Hall ES,Capacity,369
2006,212,Meadow Hall ES,Capacity,369
2007,212,Meadow Hall ES,Capacity,364
2008,212,Meadow Hall ES,Capacity,361
2009,212,Meadow Hall ES,Capacity,334
2010,212,Meadow Hall ES,Capacity,362
2011,212,Meadow Hall ES,Capacity,362
2012,212,Meadow Hall ES,Capacity,352
2013,212,Meadow Hall ES,Capacity,367
2014,212,Meadow Hall ES,Capacity,370
2015,212,Meadow Hall ES,Capacity,353
2016,212,Meadow Hall ES,Capacity,370
2000,215,Carl Sandburg Learning Center SP,Capacity,169
2007,215,Carl Sandburg Learning Center SP,Capacity,96
2008,215,Carl Sandburg Learning Center SP,Capacity,96
2009,215,Carl Sandburg Learning Center SP,Capacity,96
2010,215,Carl Sandburg Learning Center SP,Capacity,102
2011,215,Carl Sandburg Learning Center SP,Capacity,102
2012,215,Carl Sandburg Learning Center SP,Capacity,102
2013,215,Carl Sandburg Learning Center SP,Capacity,96
2014,215,Carl Sandburg Learning Center SP,Capacity,79
2015,215,Carl Sandburg Learning Center SP,Capacity,79
2016,215,Carl Sandburg Learning Center SP,Capacity,79
2000,216,Travilah ES,Capacity,299
2001,216,Travilah ES,Capacity,299
2002,216,Travilah ES,Capacity,299
2003,216,Travilah ES,Capacity,299
2004,216,Travilah ES,Capacity,342
2005,216,Travilah ES,Capacity,342
2006,216,Travilah ES,Capacity,342
2007,216,Travilah ES,Capacity,342
2005,229,College Gardens ES,Capacity,365
2006,229,College Gardens ES,Capacity,408
2007,229,College Gardens ES,Capacity,694
2008,229,College Gardens ES,Capacity,694
2009,229,College Gardens ES,Capacity,693
2010,229,College Gardens ES,Capacity,670
2011,229,College Gardens ES,Capacity,671
2012,229,College Gardens ES,Capacity,671
2013,229,College Gardens ES,Capacity,694
2014,229,College Gardens ES,Capacity,694
2015,229,College Gardens ES,Capacity,693
2016,229,College Gardens ES,Capacity,693
2000,230,Rockville HS,Capacity,1235.7
2001,230,Rockville HS,Capacity,1218.6
2002,230,Rockville HS,Capacity,1218.6
2003,230,Rockville HS,Capacity,1218.6
2004,230,Rockville HS,Capacity,1632.6
2005,230,Rockville HS,Capacity,1632.6
2006,230,Rockville HS,Capacity,1607.4
2007,230,Rockville HS,Capacity,1602
2008,230,Rockville HS,Capacity,1597.5
2009,230,Rockville HS,Capacity,1552.5
2010,230,Rockville HS,Capacity,1530
2011,230,Rockville HS,Capacity,1530
2012,230,Rockville HS,Capacity,1515.6
2013,230,Rockville HS,Capacity,1570.5
2014,230,Rockville HS,Capacity,1570.5
2015,230,Rockville HS,Capacity,1570.5
2016,230,Rockville HS,Capacity,1584
