SCHOOL #,SCHOOL NAME,ADDRESS,SchoolType,GRADE,AllStudents,Male,Female,AmericanIndian,Asian,Black,White,Hispanic,PacificIslander,MultipleRace,ESOL,FARMS,SpEd
51,Laytonsville ES,"21401 Laytonsville Road  Gaithersburg, MD 20882",ES,K,72,32,40,--,--,--,35,--,--,--,--,--,--
51,Laytonsville ES,"21401 Laytonsville Road  Gaithersburg, MD 20882",ES,01,63,40,23,--,--,--,30,--,--,--,--,--,--
51,Laytonsville ES,"21401 Laytonsville Road  Gaithersburg, MD 20882",ES,02,68,45,23,--,--,--,33,--,--,--,--,--,--
51,Laytonsville ES,"21401 Laytonsville Road  Gaithersburg, MD 20882",ES,03,73,40,33,--,--,--,38,--,--,--,--,--,--
51,Laytonsville ES,"21401 Laytonsville Road  Gaithersburg, MD 20882",ES,04,62,33,29,--,--,--,37,--,--,--,--,--,--
51,Laytonsville ES,"21401 Laytonsville Road  Gaithersburg, MD 20882",ES,05,74,40,34,--,--,--,42,--,--,--,--,--,--
100,Clopper Mill ES,"18501 Cinnamon Drive  Germantown, MD 20874",ES,PreK,78,40,38,--,--,29,--,37,--,--,24,65,--
100,Clopper Mill ES,"18501 Cinnamon Drive  Germantown, MD 20874",ES,K,67,28,39,--,--,24,--,24,--,--,25,48,--
100,Clopper Mill ES,"18501 Cinnamon Drive  Germantown, MD 20874",ES,01,75,31,44,--,--,29,--,30,--,--,--,44,--
100,Clopper Mill ES,"18501 Cinnamon Drive  Germantown, MD 20874",ES,02,66,31,35,--,--,23,--,30,--,--,21,43,--
100,Clopper Mill ES,"18501 Cinnamon Drive  Germantown, MD 20874",ES,03,80,44,36,--,--,30,--,38,--,--,21,54,--
100,Clopper Mill ES,"18501 Cinnamon Drive  Germantown, MD 20874",ES,04,69,35,34,--,--,25,--,31,--,--,--,47,--
100,Clopper Mill ES,"18501 Cinnamon Drive  Germantown, MD 20874",ES,05,53,29,24,--,--,--,--,29,--,--,--,33,--
101,Clarksburg ES,"13530 Redgrave Place  Clarksburg, MD  20871",ES,K,52,25,27,--,--,--,--,--,--,--,--,--,--
101,Clarksburg ES,"13530 Redgrave Place  Clarksburg, MD  20871",ES,01,44,--,25,--,--,--,--,--,--,--,--,--,--
101,Clarksburg ES,"13530 Redgrave Place  Clarksburg, MD  20871",ES,02,61,35,26,--,21,--,--,--,--,--,--,--,--
101,Clarksburg ES,"13530 Redgrave Place  Clarksburg, MD  20871",ES,03,50,33,--,--,--,--,--,--,--,--,--,--,--
101,Clarksburg ES,"13530 Redgrave Place  Clarksburg, MD  20871",ES,04,51,27,24,--,--,--,--,--,--,--,,--,--
101,Clarksburg ES,"13530 Redgrave Place  Clarksburg, MD  20871",ES,05,51,28,23,--,--,--,--,--,--,--,--,--,--
102,Germantown ES,"19110 Liberty Mill Road  Germantown, MD  20874",ES,PreK,--,--,--,--,--,--,--,--,--,--,,--,--
102,Germantown ES,"19110 Liberty Mill Road  Germantown, MD  20874",ES,K,39,23,--,--,--,--,--,--,--,--,--,--,--
102,Germantown ES,"19110 Liberty Mill Road  Germantown, MD  20874",ES,01,59,30,29,--,--,--,--,--,--,--,--,--,--
102,Germantown ES,"19110 Liberty Mill Road  Germantown, MD  20874",ES,02,57,31,26,--,--,--,--,--,--,--,--,--,--
102,Germantown ES,"19110 Liberty Mill Road  Germantown, MD  20874",ES,03,45,29,--,--,--,--,--,--,--,--,--,--,--
102,Germantown ES,"19110 Liberty Mill Road  Germantown, MD  20874",ES,04,54,27,27,--,--,--,--,--,--,--,--,--,--
102,Germantown ES,"19110 Liberty Mill Road  Germantown, MD  20874",ES,05,45,22,23,--,--,--,--,--,--,--,--,--,--
104,Seneca Valley HS,"19401 Crystal Rock Drive  Germantown, MD 20874",HS,09,317,163,154,--,34,123,46,102,--,--,61,149,42
104,Seneca Valley HS,"19401 Crystal Rock Drive  Germantown, MD 20874",HS,10,354,182,172,--,39,131,63,106,--,--,53,145,46
104,Seneca Valley HS,"19401 Crystal Rock Drive  Germantown, MD 20874",HS,11,258,123,135,--,32,75,65,76,--,--,--,76,23
104,Seneca Valley HS,"19401 Crystal Rock Drive  Germantown, MD 20874",HS,12,269,136,133,--,32,102,61,65,--,--,--,90,44
105,Ridgeview MS,"16600 Raven Rock Drive  Gaithersburg, MD  20878",MS,06,237,126,111,--,28,34,94,67,--,--,--,79,--
105,Ridgeview MS,"16600 Raven Rock Drive  Gaithersburg, MD  20878",MS,07,263,134,129,--,43,40,100,65,--,--,--,77,25
105,Ridgeview MS,"16600 Raven Rock Drive  Gaithersburg, MD  20878",MS,08,246,119,127,--,33,41,103,56,--,--,--,68,--
106,Fox Chapel ES,"19315 Archdale Road  Germantown, MD  20876",ES,PreK,45,23,22,--,--,--,--,32,--,--,28,44,--
106,Fox Chapel ES,"19315 Archdale Road  Germantown, MD  20876",ES,K,88,52,36,--,--,34,--,34,--,--,45,51,--
106,Fox Chapel ES,"19315 Archdale Road  Germantown, MD  20876",ES,01,65,32,33,--,--,23,--,32,--,--,27,42,--
106,Fox Chapel ES,"19315 Archdale Road  Germantown, MD  20876",ES,02,85,45,40,--,--,--,--,52,--,--,42,47,--
106,Fox Chapel ES,"19315 Archdale Road  Germantown, MD  20876",ES,03,90,47,43,--,--,32,--,43,--,--,36,55,--
106,Fox Chapel ES,"19315 Archdale Road  Germantown, MD  20876",ES,04,134,70,64,--,39,26,24,42,--,--,--,53,--
106,Fox Chapel ES,"19315 Archdale Road  Germantown, MD  20876",ES,05,128,66,62,--,39,23,24,37,--,--,--,46,--
107,"Dr. Martin Luther King, Jr.  MS","13737 Wisteria Drive  Germantown, MD  20874",MS,06,217,101,116,--,26,84,37,58,--,--,--,112,21
107,"Dr. Martin Luther King, Jr.  MS","13737 Wisteria Drive  Germantown, MD  20874",MS,07,184,98,86,--,28,67,27,50,--,--,21,84,23
107,"Dr. Martin Luther King, Jr.  MS","13737 Wisteria Drive  Germantown, MD  20874",MS,08,222,110,112,--,31,74,40,67,--,--,--,104,23
108,Lake Seneca ES,"13600 Wanegarden Drive  Germantown, MD  20874",ES,PreK,90,68,22,--,--,41,--,26,--,--,--,47,62
108,Lake Seneca ES,"13600 Wanegarden Drive  Germantown, MD  20874",ES,K,62,29,33,--,--,23,--,21,--,--,24,39,--
108,Lake Seneca ES,"13600 Wanegarden Drive  Germantown, MD  20874",ES,01,74,39,35,--,--,28,--,22,--,--,27,39,--
108,Lake Seneca ES,"13600 Wanegarden Drive  Germantown, MD  20874",ES,02,84,30,54,--,--,34,--,26,--,--,--,48,--
108,Lake Seneca ES,"13600 Wanegarden Drive  Germantown, MD  20874",ES,03,65,34,31,--,--,25,--,--,--,--,--,34,--
108,Lake Seneca ES,"13600 Wanegarden Drive  Germantown, MD  20874",ES,04,67,30,37,--,--,--,--,26,--,--,--,34,--
108,Lake Seneca ES,"13600 Wanegarden Drive  Germantown, MD  20874",ES,05,60,29,31,--,--,22,--,21,--,--,--,38,--
109,Waters Landing ES,"13100 Waters Landing Drive  Germantown, MD  20874",ES,K,124,64,60,--,--,53,--,35,--,--,37,65,--
109,Waters Landing ES,"13100 Waters Landing Drive  Germantown, MD  20874",ES,01,119,61,58,--,--,36,--,53,--,--,40,59,--
109,Waters Landing ES,"13100 Waters Landing Drive  Germantown, MD  20874",ES,02,137,56,81,--,--,53,--,55,--,--,36,78,--
109,Waters Landing ES,"13100 Waters Landing Drive  Germantown, MD  20874",ES,03,117,67,50,--,--,46,22,35,--,--,23,62,--
109,Waters Landing ES,"13100 Waters Landing Drive  Germantown, MD  20874",ES,04,115,57,58,--,--,39,--,44,--,--,--,55,--
109,Waters Landing ES,"13100 Waters Landing Drive  Germantown, MD  20874",ES,05,93,44,49,--,--,40,--,27,--,--,--,50,--
110,S. Christa McAuliffe ES,"12500 Wisteria Drive  Germantown,  MD  20874",ES,PreK,--,--,--,--,--,--,--,--,--,--,--,--,--
110,S. Christa McAuliffe ES,"12500 Wisteria Drive  Germantown,  MD  20874",ES,K,118,56,62,--,--,44,28,27,--,--,47,54,--
110,S. Christa McAuliffe ES,"12500 Wisteria Drive  Germantown,  MD  20874",ES,01,94,46,48,--,--,39,--,28,--,--,25,52,--
110,S. Christa McAuliffe ES,"12500 Wisteria Drive  Germantown,  MD  20874",ES,02,101,54,47,--,--,33,21,32,--,--,24,47,--
110,S. Christa McAuliffe ES,"12500 Wisteria Drive  Germantown,  MD  20874",ES,03,97,52,45,--,--,33,--,28,--,--,24,37,--
110,S. Christa McAuliffe ES,"12500 Wisteria Drive  Germantown,  MD  20874",ES,04,99,47,52,--,--,45,--,30,--,--,--,56,--
110,S. Christa McAuliffe ES,"12500 Wisteria Drive  Germantown,  MD  20874",ES,05,111,51,60,--,--,40,--,35,--,--,--,48,--
111,Capt. James E. Daly ES,"20301 Brandermill Drive  Germantown, MD 20876",ES,PreK,39,23,--,--,--,--,--,--,--,--,24,37,--
111,Capt. James E. Daly ES,"20301 Brandermill Drive  Germantown, MD 20876",ES,K,96,45,51,--,--,35,--,44,--,--,52,69,--
111,Capt. James E. Daly ES,"20301 Brandermill Drive  Germantown, MD 20876",ES,01,97,46,51,--,--,33,--,45,--,--,43,67,--
111,Capt. James E. Daly ES,"20301 Brandermill Drive  Germantown, MD 20876",ES,02,85,39,46,--,--,23,--,44,--,--,49,61,--
111,Capt. James E. Daly ES,"20301 Brandermill Drive  Germantown, MD 20876",ES,03,103,52,51,--,--,41,--,40,--,--,29,74,--
111,Capt. James E. Daly ES,"20301 Brandermill Drive  Germantown, MD 20876",ES,04,104,42,62,--,--,38,--,44,--,--,--,66,--
111,Capt. James E. Daly ES,"20301 Brandermill Drive  Germantown, MD 20876",ES,05,72,37,35,--,--,26,--,34,--,--,--,51,--
115,Neelsville MS,"11700 Neelsville Church Road  Germantown, MD  20876",MS,06,285,156,129,--,22,92,--,139,--,--,42,191,24
115,Neelsville MS,"11700 Neelsville Church Road  Germantown, MD  20876",MS,07,323,153,170,--,24,113,27,144,--,--,52,219,29
115,Neelsville MS,"11700 Neelsville Church Road  Germantown, MD  20876",MS,08,303,156,147,--,28,94,24,146,--,--,56,207,23
125,Quince Orchard HS,"15800 Quince Orchard Road  Gaithersburg, MD 20878",HS,09,476,233,243,--,66,60,196,136,--,--,67,126,35
125,Quince Orchard HS,"15800 Quince Orchard Road  Gaithersburg, MD 20878",HS,10,491,251,240,--,58,78,207,119,--,29,55,116,44
